review_id,category,brand,review_text,rating,true_sentiment,review_date,helpful_votes,verified_purchase,review_length,month,quarter,predicted_label,confidence_score,predicted_sentiment
REV00090,Fashion,Adidas,Incredible value for money. Works exactly as described.,4,positive,2024-01-08,136,True,55,1,1,POSITIVE,0.999871015548706,positive
REV00091,Sports,Nike,Cheap and flimsy. Fell apart immediately. Don't waste your money.,1,negative,2024-03-05,125,True,65,3,1,NEGATIVE,0.9996438026428223,negative
REV00092,Electronics,Dell,Exactly what I needed. Quality is top notch.,5,positive,2024-04-04,13,False,44,4,2,POSITIVE,0.9997501969337463,positive
REV00093,Food & Grocery,Whole Foods,Defective product. Very frustrated with this purchase.,1,negative,2024-10-22,13,True,54,10,4,NEGATIVE,0.9998204112052917,negative
REV00094,Home & Kitchen,Cuisinart,Worst purchase ever. Complete waste of money. Avoid at all costs.,2,negative,2024-03-01,142,False,65,3,1,NEGATIVE,0.9998062252998352,negative
REV00095,Beauty,CeraVe,Exactly what I needed. Quality is top notch.,4,positive,2024-10-28,109,False,44,10,4,POSITIVE,0.9997501969337463,positive
REV00096,Electronics,Dell,Worst purchase ever. Complete waste of money. Avoid at all costs.,2,negative,2024-04-16,54,False,65,4,2,NEGATIVE,0.9998062252998352,negative
REV00097,Fashion,Adidas,Surprised by how good this is. Will order more.,4,positive,2024-01-02,104,False,47,1,1,POSITIVE,0.9998069405555725,positive
REV00098,Food & Grocery,Kirkland,Five stars! Perfect in every way. Couldn't be happier.,5,positive,2024-12-25,116,True,54,12,4,POSITIVE,0.9998214840888977,positive
REV00099,Beauty,MAC,Okay product. Delivery was average. Would consider alternatives.,3,neutral,2024-04-11,108,True,64,4,2,POSITIVE,0.9861683249473572,positive
REV00100,Beauty,Maybelline,"Poor quality, misleading description. Returning immediately.",1,negative,2024-03-25,78,False,60,3,1,NEGATIVE,0.9995051622390747,negative
REV00101,Food & Grocery,Whole Foods,Five stars! Perfect in every way. Couldn't be happier.,5,positive,2024-05-19,128,False,54,5,2,POSITIVE,0.9998214840888977,positive
REV00102,Food & Grocery,Whole Foods,Standard quality. Meets basic requirements.,4,neutral,2024-11-05,64,True,43,11,4,POSITIVE,0.9993390440940857,positive
REV00103,Fashion,Adidas,Terrible quality control. Mine arrived broken. Very unhappy.,1,negative,2024-01-11,68,True,60,1,1,NEGATIVE,0.9997050166130066,negative
REV00104,Home & Kitchen,Ninja,Exactly what I needed. Quality is top notch.,5,positive,2024-04-02,149,False,44,4,2,POSITIVE,0.9997501969337463,positive
REV00105,Food & Grocery,Whole Foods,"Amazing product, great customer service, fast shipping!",5,positive,2024-12-09,26,True,55,12,4,POSITIVE,0.9998639822006226,positive
REV00106,Automotive,Meguiar's,Works as expected. Would neither recommend nor discourage.,3,neutral,2024-07-24,140,True,58,7,3,NEGATIVE,0.88319993019104,negative
REV00107,Food & Grocery,Whole Foods,Incredible value for money. Works exactly as described.,4,positive,2024-07-25,131,True,55,7,3,POSITIVE,0.999871015548706,positive
REV00108,Food & Grocery,Annie's,Surprised by how good this is. Will order more.,5,positive,2024-09-12,113,True,47,9,3,POSITIVE,0.9998069405555725,positive
REV00109,Beauty,MAC,Five stars! Perfect in every way. Couldn't be happier.,5,positive,2024-12-23,124,True,54,12,4,POSITIVE,0.9998214840888977,positive
REV00110,Electronics,Dell,"It's decent for the price. Not great, not terrible.",3,neutral,2024-01-08,141,False,51,1,1,POSITIVE,0.9741641283035278,positive
REV00111,Fashion,Adidas,Worst purchase ever. Complete waste of money. Avoid at all costs.,1,negative,2024-03-01,39,False,65,3,1,NEGATIVE,0.9998062252998352,negative
REV00112,Sports,New Balance,Standard quality. Meets basic requirements.,4,neutral,2024-08-29,62,False,43,8,3,POSITIVE,0.9993390440940857,positive
REV00113,Home & Kitchen,Ninja,Fantastic experience from start to finish. Love it!,5,positive,2024-03-10,17,False,51,3,1,POSITIVE,0.999889612197876,positive
REV00114,Books,Simon & Schuster,Cheap and flimsy. Fell apart immediately. Don't waste your money.,1,negative,2024-01-02,72,False,65,1,1,NEGATIVE,0.9996438026428223,negative
REV00115,Food & Grocery,Trader Joe's,Exactly what I needed. Quality is top notch.,5,positive,2024-10-09,139,False,44,10,4,POSITIVE,0.9997501969337463,positive
REV00116,Food & Grocery,Kirkland,Absolutely awful. Customer service was no help at all.,1,negative,2024-04-29,105,True,54,4,2,NEGATIVE,0.999640703201294,negative
REV00117,Automotive,Meguiar's,Standard quality. Meets basic requirements.,3,neutral,2024-12-05,38,False,43,12,4,POSITIVE,0.9993390440940857,positive
REV00118,Electronics,Samsung,Fantastic experience from start to finish. Love it!,5,positive,2024-02-21,112,True,51,2,1,POSITIVE,0.999889612197876,positive
REV00119,Food & Grocery,Whole Foods,Standard quality. Meets basic requirements.,4,neutral,2024-03-20,19,False,43,3,1,POSITIVE,0.9993390440940857,positive
REV00120,Sports,Adidas,Standard quality. Meets basic requirements.,3,neutral,2024-06-17,136,False,43,6,2,POSITIVE,0.9993390440940857,positive
REV00121,Automotive,Meguiar's,Terrible product. Broke after one week of use. Very disappointed.,2,negative,2024-04-30,73,True,65,4,2,NEGATIVE,0.9998026490211487,negative
REV00122,Fashion,H&M,Worst purchase ever. Complete waste of money. Avoid at all costs.,1,negative,2024-12-21,76,True,65,12,4,NEGATIVE,0.9998062252998352,negative
REV00123,Electronics,Sony,Works as expected. Would neither recommend nor discourage.,3,neutral,2024-08-08,37,True,58,8,3,NEGATIVE,0.88319993019104,negative
REV00124,Books,Scholastic,"It's decent for the price. Not great, not terrible.",3,neutral,2024-02-10,97,True,51,2,1,POSITIVE,0.9741641283035278,positive
REV00125,Food & Grocery,Clif Bar,Exactly what I needed. Quality is top notch.,5,positive,2024-08-23,65,True,44,8,3,POSITIVE,0.9997501969337463,positive
REV00126,Food & Grocery,Kirkland,"It's decent for the price. Not great, not terrible.",3,neutral,2024-06-25,150,False,51,6,2,POSITIVE,0.9741641283035278,positive
REV00127,Books,Simon & Schuster,Five stars! Perfect in every way. Couldn't be happier.,4,positive,2024-07-15,123,True,54,7,3,POSITIVE,0.9998214840888977,positive
REV00128,Beauty,Neutrogena,Okay product. Delivery was average. Would consider alternatives.,3,neutral,2024-12-24,75,True,64,12,4,POSITIVE,0.9861683249473572,positive
REV00129,Books,Simon & Schuster,Absolutely love this product! Exceeded all my expectations.,5,positive,2024-09-11,73,True,59,9,3,POSITIVE,0.999882698059082,positive
REV00130,Automotive,3M,Okay product. Delivery was average. Would consider alternatives.,3,neutral,2024-12-03,35,True,64,12,4,POSITIVE,0.9861683249473572,positive
REV00131,Electronics,Sony,"Product is okay, does what it says. Nothing special.",3,neutral,2024-03-08,23,False,52,3,1,NEGATIVE,0.7464097142219543,neutral
REV00132,Automotive,Meguiar's,Outstanding quality and fast delivery. Will definitely buy again.,5,positive,2024-07-06,135,False,65,7,3,POSITIVE,0.9998725652694702,positive
REV00133,Home & Kitchen,Instant Pot,Complete disappointment. Expected much better quality.,2,negative,2024-05-31,86,True,54,5,2,NEGATIVE,0.9997788071632385,negative
REV00134,Food & Grocery,Whole Foods,This product changed my life. So happy with my purchase!,5,positive,2024-12-11,101,False,56,12,4,POSITIVE,0.9998542070388794,positive
REV00135,Fashion,H&M,Surprised by how good this is. Will order more.,4,positive,2024-07-07,67,False,47,7,3,POSITIVE,0.9998069405555725,positive
REV00136,Automotive,Bosch,It's fine. Not what I was hoping for but acceptable.,3,neutral,2024-10-14,83,True,52,10,4,POSITIVE,0.9996135830879211,positive
REV00137,Fashion,H&M,Do NOT buy this. Stopped working after a few days.,2,negative,2024-02-29,35,True,50,2,1,NEGATIVE,0.9997135996818542,negative
REV00138,Electronics,Sony,Worst purchase ever. Complete waste of money. Avoid at all costs.,1,negative,2024-10-02,34,False,65,10,4,NEGATIVE,0.9998062252998352,negative
REV00139,Food & Grocery,Kirkland,Mediocre product. Does what you need it to do.,3,neutral,2024-03-20,106,True,46,3,1,NEGATIVE,0.9973958730697632,negative
REV00140,Food & Grocery,Clif Bar,Five stars! Perfect in every way. Couldn't be happier.,4,positive,2024-07-08,55,False,54,7,3,POSITIVE,0.9998214840888977,positive
REV00141,Food & Grocery,Trader Joe's,Worst purchase ever. Complete waste of money. Avoid at all costs.,2,negative,2024-07-07,139,False,65,7,3,NEGATIVE,0.9998062252998352,negative
REV00142,Electronics,LG,Best purchase I've made this year. Highly recommend to everyone.,5,positive,2024-08-20,23,True,64,8,3,POSITIVE,0.9998515844345093,positive
REV00143,Electronics,Apple,Arrived on time. Product is as described. Nothing more.,4,neutral,2024-10-16,52,True,55,10,4,NEGATIVE,0.997026264667511,negative
REV00144,Beauty,CeraVe,This product changed my life. So happy with my purchase!,5,positive,2024-03-16,0,False,56,3,1,POSITIVE,0.9998542070388794,positive
REV00145,Home & Kitchen,Dyson,Outstanding quality and fast delivery. Will definitely buy again.,4,positive,2024-01-14,33,True,65,1,1,POSITIVE,0.9998725652694702,positive
REV00146,Automotive,3M,"Product is okay, does what it says. Nothing special.",3,neutral,2024-01-27,32,False,52,1,1,NEGATIVE,0.7464097142219543,neutral
REV00147,Fashion,Nike,Incredible value for money. Works exactly as described.,5,positive,2024-02-25,115,True,55,2,1,POSITIVE,0.999871015548706,positive
REV00148,Electronics,Dell,Absolutely love this product! Exceeded all my expectations.,4,positive,2024-09-02,102,False,59,9,3,POSITIVE,0.999882698059082,positive
REV00149,Fashion,H&M,It's fine. Not what I was hoping for but acceptable.,3,neutral,2024-02-11,82,True,52,2,1,POSITIVE,0.9996135830879211,positive
REV00150,Fashion,Adidas,Fantastic experience from start to finish. Love it!,5,positive,2024-06-15,97,False,51,6,2,POSITIVE,0.999889612197876,positive
REV00151,Food & Grocery,Clif Bar,Average quality. Works fine but nothing to write home about.,4,neutral,2024-02-28,141,True,60,2,1,NEGATIVE,0.9914780259132385,negative
REV00152,Books,Random House,Defective product. Very frustrated with this purchase.,1,negative,2024-08-20,102,False,54,8,3,NEGATIVE,0.9998204112052917,negative
REV00153,Fashion,Zara,Five stars! Perfect in every way. Couldn't be happier.,5,positive,2024-03-19,121,True,54,3,1,POSITIVE,0.9998214840888977,positive
REV00154,Fashion,Nike,Best purchase I've made this year. Highly recommend to everyone.,5,positive,2024-07-09,33,True,64,7,3,POSITIVE,0.9998515844345093,positive
REV00155,Automotive,Bosch,"Amazing product, great customer service, fast shipping!",5,positive,2024-01-27,73,False,55,1,1,POSITIVE,0.9998639822006226,positive
REV00156,Automotive,Bosch,Arrived on time. Product is as described. Nothing more.,3,neutral,2024-09-03,57,True,55,9,3,NEGATIVE,0.997026264667511,negative
REV00157,Automotive,WeatherTech,Five stars! Perfect in every way. Couldn't be happier.,5,positive,2024-08-07,143,True,54,8,3,POSITIVE,0.9998214840888977,positive
REV00158,Sports,Nike,Five stars! Perfect in every way. Couldn't be happier.,5,positive,2024-06-28,1,True,54,6,2,POSITIVE,0.9998214840888977,positive
REV00159,Home & Kitchen,Cuisinart,Average quality. Works fine but nothing to write home about.,3,neutral,2024-11-20,7,True,60,11,4,NEGATIVE,0.9914780259132385,negative
REV00160,Beauty,Neutrogena,Incredible value for money. Works exactly as described.,4,positive,2024-06-08,83,True,55,6,2,POSITIVE,0.999871015548706,positive
REV00161,Electronics,Samsung,Fantastic experience from start to finish. Love it!,4,positive,2024-02-11,69,False,51,2,1,POSITIVE,0.999889612197876,positive
REV00162,Books,Random House,Standard quality. Meets basic requirements.,3,neutral,2024-09-19,29,False,43,9,3,POSITIVE,0.9993390440940857,positive
REV00163,Books,Penguin,Fantastic experience from start to finish. Love it!,5,positive,2024-12-07,78,True,51,12,4,POSITIVE,0.999889612197876,positive
REV00164,Beauty,Neutrogena,Terrible product. Broke after one week of use. Very disappointed.,1,negative,2024-06-03,54,True,65,6,2,NEGATIVE,0.9998026490211487,negative
REV00165,Sports,Adidas,Absolutely love this product! Exceeded all my expectations.,5,positive,2024-08-08,44,True,59,8,3,POSITIVE,0.999882698059082,positive
REV00166,Books,Scholastic,Mediocre product. Does what you need it to do.,3,neutral,2024-12-08,90,True,46,12,4,NEGATIVE,0.9973958730697632,negative
REV00167,Books,Penguin,Exactly what I needed. Quality is top notch.,5,positive,2024-06-09,147,False,44,6,2,POSITIVE,0.9997501969337463,positive
REV00168,Books,Random House,"Amazing product, great customer service, fast shipping!",4,positive,2024-06-15,43,False,55,6,2,POSITIVE,0.9998639822006226,positive
REV00169,Automotive,Bosch,Best purchase I've made this year. Highly recommend to everyone.,4,positive,2024-10-28,102,True,64,10,4,POSITIVE,0.9998515844345093,positive
REV00170,Books,Simon & Schuster,Arrived on time. Product is as described. Nothing more.,3,neutral,2024-03-27,19,True,55,3,1,NEGATIVE,0.997026264667511,negative
REV00171,Beauty,MAC,Outstanding quality and fast delivery. Will definitely buy again.,4,positive,2024-03-15,65,True,65,3,1,POSITIVE,0.9998725652694702,positive
REV00172,Home & Kitchen,Cuisinart,Best purchase I've made this year. Highly recommend to everyone.,4,positive,2024-11-17,126,False,64,11,4,POSITIVE,0.9998515844345093,positive
REV00173,Food & Grocery,Clif Bar,Okay product. Delivery was average. Would consider alternatives.,3,neutral,2024-11-17,80,True,64,11,4,POSITIVE,0.9861683249473572,positive
REV00174,Food & Grocery,Whole Foods,Five stars! Perfect in every way. Couldn't be happier.,5,positive,2024-10-29,14,False,54,10,4,POSITIVE,0.9998214840888977,positive
REV00175,Fashion,Zara,Absolutely love this product! Exceeded all my expectations.,4,positive,2024-05-26,19,True,59,5,2,POSITIVE,0.999882698059082,positive
REV00176,Books,Random House,"Product is okay, does what it says. Nothing special.",3,neutral,2024-10-19,48,False,52,10,4,NEGATIVE,0.7464097142219543,neutral
REV00177,Food & Grocery,Clif Bar,Absolutely love this product! Exceeded all my expectations.,5,positive,2024-06-24,21,True,59,6,2,POSITIVE,0.999882698059082,positive
REV00178,Electronics,Samsung,It's fine. Not what I was hoping for but acceptable.,3,neutral,2024-11-08,40,False,52,11,4,POSITIVE,0.9996135830879211,positive
